Country,Date,Confirmed,Deaths,Recovered
Afghanistan,2020-1-22,0,0,0
Afghanistan,2020-1-23,0,0,0
Afghanistan,2020-1-24,0,0,0
Afghanistan,2020-1-25,0,0,0
Afghanistan,2020-1-26,0,0,0
Afghanistan,2020-1-27,0,0,0
Afghanistan,2020-1-28,0,0,0
Afghanistan,2020-1-29,0,0,0
Afghanistan,2020-1-30,0,0,0
Afghanistan,2020-1-31,0,0,0
Afghanistan,2020-2-1,0,0,0
Afghanistan,2020-2-2,0,0,0
Afghanistan,2020-2-3,0,0,0
Afghanistan,2020-2-4,0,0,0
Afghanistan,2020-2-5,0,0,0
Afghanistan,2020-2-6,0,0,0
Afghanistan,2020-2-7,0,0,0
Afghanistan,2020-2-8,0,0,0
Afghanistan,2020-2-9,0,0,0
Afghanistan,2020-2-10,0,0,0
Afghanistan,2020-2-11,0,0,0
Afghanistan,2020-2-12,0,0,0
Afghanistan,2020-2-13,0,0,0
Afghanistan,2020-2-14,0,0,0
Afghanistan,2020-2-15,0,0,0
Afghanistan,2020-2-16,0,0,0
Afghanistan,2020-2-17,0,0,0
Afghanistan,2020-2-18,0,0,0
Afghanistan,2020-2-19,0,0,0
Afghanistan,2020-2-20,0,0,0
Afghanistan,2020-2-21,0,0,0
Afghanistan,2020-2-22,0,0,0
Afghanistan,2020-2-23,0,0,0
Afghanistan,2020-2-24,1,0,0
Afghanistan,2020-2-25,0,0,0
Afghanistan,2020-2-26,0,0,0
Afghanistan,2020-2-27,0,0,0
Afghanistan,2020-2-28,0,0,0
Afghanistan,2020-2-29,0,0,0
Afghanistan,2020-3-1,0,0,0
Afghanistan,2020-3-2,0,0,0
Afghanistan,2020-3-3,0,0,0
Afghanistan,2020-3-4,0,0,0
Afghanistan,2020-3-5,0,0,0
Afghanistan,2020-3-6,0,0,0
Afghanistan,2020-3-7,0,0,0
Afghanistan,2020-3-8,3,0,0
Afghanistan,2020-3-9,0,0,0
Afghanistan,2020-3-10,1,0,0
Afghanistan,2020-3-11,2,0,0
Afghanistan,2020-3-12,0,0,0
Afghanistan,2020-3-13,0,0,0
Afghanistan,2020-3-14,4,0,0
Afghanistan,2020-3-15,5,0,0
Afghanistan,2020-3-16,5,0,1
Afghanistan,2020-3-17,1,0,0
Afghanistan,2020-3-18,0,0,0
Afghanistan,2020-3-19,0,0,0
Afghanistan,2020-3-20,2,0,0
Afghanistan,2020-3-21,0,0,0
Afghanistan,2020-3-22,16,1,0
Afghanistan,2020-3-23,0,0,0
Afghanistan,2020-3-24,34,0,0
Afghanistan,2020-3-25,10,1,1
Afghanistan,2020-3-26,10,2,0
Afghanistan,2020-3-27,16,0,0
Afghanistan,2020-3-28,0,0,0
Afghanistan,2020-3-29,10,0,0
Afghanistan,2020-3-30,50,0,0
Afghanistan,2020-3-31,4,0,3
Afghanistan,2020-4-1,63,0,0
Afghanistan,2020-4-2,36,2,5
Afghanistan,2020-4-3,8,0,0
Afghanistan,2020-4-4,18,1,0
Afghanistan,2020-4-5,50,0,5
Afghanistan,2020-4-6,18,4,3
Afghanistan,2020-4-7,56,3,0
Afghanistan,2020-4-8,21,0,11
Afghanistan,2020-4-9,40,1,3
Afghanistan,2020-4-10,37,0,0
Afghanistan,2020-4-11,34,3,0
Afghanistan,2020-4-12,52,0,0
Afghanistan,2020-4-13,58,3,0
Afghanistan,2020-4-14,49,2,8
Afghanistan,2020-4-15,70,2,3
Afghanistan,2020-4-16,56,5,11
Afghanistan,2020-4-17,66,0,45
Afghanistan,2020-4-18,27,0,13
Afghanistan,2020-4-19,63,3,19
Afghanistan,2020-4-20,30,3,4
Afghanistan,2020-4-21,66,0,15
Afghanistan,2020-4-22,84,4,16
Albania,2020-1-22,0,0,0
Albania,2020-1-23,0,0,0
Albania,2020-1-24,0,0,0
Albania,2020-1-25,0,0,0
Albania,2020-1-26,0,0,0
Albania,2020-1-27,0,0,0
Albania,2020-1-28,0,0,0
Albania,2020-1-29,0,0,0
Albania,2020-1-30,0,0,0
Albania,2020-1-31,0,0,0
Albania,2020-2-1,0,0,0
Albania,2020-2-2,0,0,0
Albania,2020-2-3,0,0,0
Albania,2020-2-4,0,0,0
Albania,2020-2-5,0,0,0
Albania,2020-2-6,0,0,0
Albania,2020-2-7,0,0,0
Albania,2020-2-8,0,0,0
Albania,2020-2-9,0,0,0
Albania,2020-2-10,0,0,0
Albania,2020-2-11,0,0,0
Albania,2020-2-12,0,0,0
Albania,2020-2-13,0,0,0
Albania,2020-2-14,0,0,0
Albania,2020-2-15,0,0,0
Albania,2020-2-16,0,0,0
Albania,2020-2-17,0,0,0
Albania,2020-2-18,0,0,0
Albania,2020-2-19,0,0,0
Albania,2020-2-20,0,0,0
Albania,2020-2-21,0,0,0
Albania,2020-2-22,0,0,0
Albania,2020-2-23,0,0,0
Albania,2020-2-24,0,0,0
Albania,2020-2-25,0,0,0
Albania,2020-2-26,0,0,0
Albania,2020-2-27,0,0,0
Albania,2020-2-28,0,0,0
Albania,2020-2-29,0,0,0
Albania,2020-3-1,0,0,0
Albania,2020-3-2,0,0,0
Albania,2020-3-3,0,0,0
Albania,2020-3-4,0,0,0
Albania,2020-3-5,0,0,0
Albania,2020-3-6,0,0,0
Albania,2020-3-7,0,0,0
Albania,2020-3-8,0,0,0
Albania,2020-3-9,2,0,0
Albania,2020-3-10,8,0,0
Albania,2020-3-11,2,1,0
Albania,2020-3-12,11,0,0
Albania,2020-3-13,10,0,0
Albania,2020-3-14,5,0,0
Albania,2020-3-15,4,0,0
Albania,2020-3-16,9,0,0
Albania,2020-3-17,4,0,0
Albania,2020-3-18,4,1,0
Albania,2020-3-19,5,0,0
Albania,2020-3-20,6,0,0
Albania,2020-3-21,6,0,2
Albania,2020-3-22,13,0,0
Albania,2020-3-23,15,2,0
Albania,2020-3-24,19,1,8
Albania,2020-3-25,23,0,7
Albania,2020-3-26,28,1,0
Albania,2020-3-27,12,2,14
Albania,2020-3-28,11,2,0
Albania,2020-3-29,15,0,2
Albania,2020-3-30,11,1,11
Albania,2020-3-31,20,4,8
Albania,2020-4-1,16,0,15
Albania,2020-4-2,18,1,9
Albania,2020-4-3,27,1,13
Albania,2020-4-4,29,3,10
Albania,2020-4-5,28,0,5
Albania,2020-4-6,16,1,12
Albania,2020-4-7,6,1,15
Albania,2020-4-8,17,0,23
Albania,2020-4-9,9,1,11
Albania,2020-4-10,7,0,17
Albania,2020-4-11,17,0,15
Albania,2020-4-12,13,0,20
Albania,2020-4-13,21,0,15
Albania,2020-4-14,8,1,16
Albania,2020-4-15,19,1,3
Albania,2020-4-16,24,1,26
Albania,2020-4-17,21,0,6
Albania,2020-4-18,9,0,19
Albania,2020-4-19,14,0,12
Albania,2020-4-20,22,0,13
Albania,2020-4-21,25,0,18
Albania,2020-4-22,25,1,11
Algeria,2020-1-22,0,0,0
Algeria,2020-1-23,0,0,0
Algeria,2020-1-24,0,0,0
Algeria,2020-1-25,0,0,0
Algeria,2020-1-26,0,0,0
Algeria,2020-1-27,0,0,0
Algeria,2020-1-28,0,0,0
Algeria,2020-1-29,0,0,0
Algeria,2020-1-30,0,0,0
Algeria,2020-1-31,0,0,0
Algeria,2020-2-1,0,0,0
Algeria,2020-2-2,0,0,0
Algeria,2020-2-3,0,0,0
Algeria,2020-2-4,0,0,0
Algeria,2020-2-5,0,0,0
Algeria,2020-2-6,0,0,0
Algeria,2020-2-7,0,0,0
Algeria,2020-2-8,0,0,0
Algeria,2020-2-9,0,0,0
Algeria,2020-2-10,0,0,0
Algeria,2020-2-11,0,0,0
Algeria,2020-2-12,0,0,0
Algeria,2020-2-13,0,0,0
Algeria,2020-2-14,0,0,0
Algeria,2020-2-15,0,0,0
Algeria,2020-2-16,0,0,0
Algeria,2020-2-17,0,0,0
Algeria,2020-2-18,0,0,0
Algeria,2020-2-19,0,0,0
Algeria,2020-2-20,0,0,0
Algeria,2020-2-21,0,0,0
Algeria,2020-2-22,0,0,0
Algeria,2020-2-23,0,0,0
Algeria,2020-2-24,0,0,0
Algeria,2020-2-25,1,0,0
Algeria,2020-2-26,0,0,0
Algeria,2020-2-27,0,0,0
Algeria,2020-2-28,0,0,0
Algeria,2020-2-29,0,0,0
Algeria,2020-3-1,0,0,0
Algeria,2020-3-2,2,0,0
